GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS472290101	2021-08-05 00:47:29.526253	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Francisco Morazán	HN-FM							Montaña de Izopo--Sector Las Moras	L2707367	H	13.9388259	-87.1690571	2017-02-27	07:00:00	obsr548297	S34940700	Traveling	P22	EBIRD	420	4.989		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS563891477	2023-05-18 11:48:21.342526	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							PN La Tigra--Sendero Jucuara	L3100043	H	14.2079354	-87.1170545	2017-04-15	12:40:00	obsr554856	S41615975	Traveling	P22	EBIRD_CAMERICA	180	2.500		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS492711257	2017-08-15 16:27:15	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Hotel Gloriales	L3085369	H	14.1615853	-87.1526313	2017-04-14	14:40:00	obsr398519	S36440023	Stationary	P21	EBIRD	80			3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS563710772	2021-08-05 00:47:29.526253	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Montaña de Izopo--Sector Las Moras	L2707367	H	13.9388259	-87.1690571	2017-04-16	06:30:00	obsr554856	S41600276	Traveling	P22	EBIRD_CAMERICA	240	3.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS528200611	2017-08-27 18:40:34	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2017-08-27	07:49:00	obsr143555	S38854854	Traveling	P22	EBIRD_CAMERICA	157	1.800		1	1		1	1	0		Sunny, clear skies; wind N3; 23C.		
URN:CornellLabOfOrnithology:EBIRD:OBS528192037	2017-09-02 23:33:33	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2017-08-27	06:07:00	obsr651458	S38854188	Traveling	P22	EBIRD_CAMERICA	225	2.600		2	1	G2603869	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS528161519	2017-09-02 23:33:33	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2017-08-27	06:07:00	obsr538458	S38852134	Traveling	P22	EBIRD_CAMERICA	225	2.600		2	1	G2603869	0	1	0		Con: Ricardo Aguilar.....--Observamos brevemente un Hawk , posiblemente WhiteBHawk , otras especies como CrecentCWarbler y Graces´s Warbler no las incluimos ya que no las pudimos observar con detenimiento...como para ver suficientes marcas de campo.		
URN:CornellLabOfOrnithology:EBIRD:OBS525626406	2017-08-20 00:57:47	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				3					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2017-08-15	06:33:00	obsr538458	S38660790	Traveling	P22	EBIRD_CAMERICA	303	1.500		1	1		1	1	1		Dia oscuro , lloviznas , sin ventisca	Una Sorpresa que no esperaba ...Vi 3 individuos cara amarillo brillante , ojos negros , linea negra --transversal que cruzaba toda la cara y pasa por los ojos conectándose con la parte trasera de la cabeza , espalda y corona negros , garganta negra , lineas  negras en los flancos , patas negras , 2 barras alares blancas  resto de las zonas ventrales eran blancas , incluyo foto horrible pero se pueden ver algunas partes	
URN:CornellLabOfOrnithology:EBIRD:OBS531506247	2023-05-18 11:49:12.799839	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2017-09-09	06:17:00	obsr651458	S39092648	Traveling	P22	EBIRD_CAMERICA	170	1.800		2	1	G2625554	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS531351212	2023-05-18 11:49:12.824728	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2017-09-09	06:17:00	obsr538458	S39083474	Traveling	P22	EBIRD_CAMERICA	170	1.800		2	1	G2625554	0	1	0		Con Ricardo Aguilar		
URN:CornellLabOfOrnithology:EBIRD:OBS529576268	2022-01-24 09:57:14.471349	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				3					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2017-09-02	06:15:00	obsr538458	S38958834	Traveling	P22	EBIRD_CAMERICA	277	2.600		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS537158387	2019-04-14 09:59:52	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2017-09-30	06:13:00	obsr538458	S39480528	Traveling	P22	EBIRD_CAMERICA	320	2.500		1	1		0	1	0		Dia nublado , bastante lodo en la zona por lluvias recientes		
URN:CornellLabOfOrnithology:EBIRD:OBS531730973	2019-06-13 13:41:29	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Montaña de Izopo--Sector Las Moras	L2707367	H	13.9388259	-87.1690571	2017-09-10	06:17:00	obsr143555	S39106672	Traveling	P22	EBIRD_CAMERICA	202	1.800		1	1		1	1	0		Partly cloudy; no wind; 26C. There was a hunter near the end of the transect.		
URN:CornellLabOfOrnithology:EBIRD:OBS530129069	2017-09-04 19:23:25	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Montaña de Izopo--Sector Las Moras	L2707367	H	13.9388259	-87.1690571	2017-09-04	07:26:00	obsr143555	S38997180	Traveling	P22	EBIRD_CAMERICA	157	1.400		1	1		1	1	0		Mix of sun and clouds early on, later mostly sunny. Wind N2; temp 25C		
URN:CornellLabOfOrnithology:EBIRD:OBS543412044	2017-10-21 23:10:03	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Montaña de Izopo--Sector Las Moras	L2707367	H	13.9388259	-87.1690571	2017-10-21	15:46:00	obsr143555	S40054804	Traveling	P22	EBIRD	117	1.800		1	1		1	1	0			Dark olive on top suggests adult female or HY male.	
URN:CornellLabOfOrnithology:EBIRD:OBS541527450	2017-10-14 14:46:13	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							(13.9210,-87.3166)	L6348058	P	13.9209600	-87.3166370	2017-10-14	11:03:00	obsr143555	S39917932	Traveling	P22	EBIRD	48	0.600		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS884089962	2020-03-26 16:15:09	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Jutiapa	L11030894	P	14.2018889	-87.1220000	2017-11-19	07:57:00	obsr1334461	S66249109	Traveling	P22	EBIRD	155	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS551146982	2017-11-21 08:35:59	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Hotel Gloriales	L2177276	P	14.1618900	-87.1524600	2017-11-21	06:55:00	obsr316288	S40638272	Traveling	P22	EBIRD	40	0.416		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS884093368	2020-03-26 16:21:43	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Jucuaras	L11030937	P	14.2105278	-87.1163333	2017-11-19	06:45:00	obsr1334461	S66249363	Traveling	P22	EBIRD	225	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS884084669	2020-03-26 16:03:37	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Caballerizas	L11030738	P	14.2138611	-87.1466667	2017-11-18	08:00:00	obsr1334461	S66248659	Traveling	P22	EBIRD	170	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS548897165	2021-08-05 00:48:13.89859	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Francisco Morazán	HN-FM							Calle al sur de El Tizatillo (transecto de 9 kms)	L2106520	H	13.9757992	-87.1901608	2017-11-12	05:50:00	obsr538458	S40466528	Traveling	P22	EBIRD_CAMERICA	192	6.000		1	1		0	1	0		Dia Oscuro , vientos moderados		
URN:CornellLabOfOrnithology:EBIRD:OBS550684003	2022-01-24 09:57:14.834743	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2017-11-19	06:08:00	obsr538458	S40601755	Traveling	P22	EBIRD_CAMERICA	280	2.500		1	1		0	1	0		Se inició como un dia soleado , sin vientos .... a partir de las 10:00 am se puso muy nublado		
URN:CornellLabOfOrnithology:EBIRD:OBS884121795	2020-03-26 17:19:05	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Cabot Este	L11031286	P	14.0351667	-87.0759444	2017-12-10	07:49:00	obsr1334461	S66251719	Traveling	P22	EBIRD	190	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS884118315	2023-05-18 11:44:50.850112	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							El Viejito	L11031240	P	14.0370278	-87.0723611	2017-12-10	07:40:00	obsr1334461	S66251377	Traveling	P22	EBIRD	140	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS884114761	2020-03-26 17:04:58	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Cabot Oeste	L11031094	P	14.0401111	-87.0736944	2017-12-09	06:54:00	obsr1334461	S66251070	Traveling	P22	EBIRD	141	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS561452606	2017-12-30 10:12:11	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Montaña de Izopo--Sector Las Moras	L2707367	H	13.9388259	-87.1690571	2017-12-29	15:49:00	obsr197531	S41416862	Traveling	P22	EBIRD_CAMERICA	130	2.200		2	1	G2817259	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS561446716	2017-12-30 10:12:11	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Montaña de Izopo--Sector Las Moras	L2707367	H	13.9388259	-87.1690571	2017-12-29	15:49:00	obsr143555	S41416435	Traveling	P22	EBIRD_CAMERICA	130	2.200		2	1	G2817259	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS884104002	2020-03-26 16:42:19	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							La Bomba	L11031017	P	14.0325833	-87.0887222	2017-12-08	07:50:00	obsr1334461	S66250215	Traveling	P22	EBIRD	127	1.000		3	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS919408784	2020-05-11 16:16:48	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				3					Honduras	HN	Francisco Morazán	HN-FM							Camino a Uyuca	L11418735	P	14.0425556	-87.0841111	2017-12-09	07:33:00	obsr1334461	S68882358	Traveling	P22	EBIRD	141	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS906196040	2020-04-29 16:49:50	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							El Pito	L11288133	P	14.3466944	-87.2901111	2017-12-24	06:57:00	obsr1334461	S68049809	Stationary	P21	EBIRD	120			2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS562955136	2018-01-01 22:05:08	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Montaña de Izopo--Sector Las Moras	L2707367	H	13.9388259	-87.1690571	2017-12-30	07:46:00	obsr554856	S41535617	Traveling	P22	EBIRD	193	4.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS567404354	2018-01-14 15:09:44	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Uyuca, Paramo	L6717641	P	14.0406968	-87.0796486	2018-01-14	08:45:00	obsr554856	S41904958	Traveling	P22	EBIRD	120	0.500		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS571255515	2018-03-04 16:32:08	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							El Portillito	L2667065	H	13.9059917	-87.2123480	2018-01-26	07:52:00	obsr143555	S42247614	Traveling	P22	EBIRD_CAMERICA	88	0.900		2	1	G2895014	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS567515665	2018-01-15 07:54:22	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2018-01-14	10:52:00	obsr143555	S41914111	Traveling	P22	EBIRD_CAMERICA	148	2.879		5	1	G2866341	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS568397730	2018-01-17 10:40:34	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2018-01-14	10:52:00	obsr434092	S41987729	Traveling	P22	EBIRD_CAMERICA	148	2.879		5	1	G2866341	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS575251575	2023-05-18 11:47:40.567843	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							PN La Tigra--Sector Jutiapa sendero principal (Reales Minas)	L2685273	H	14.2074777	-87.1071625	2018-01-16	06:15:00	obsr548297	S42563618	Traveling	P22	EBIRD	300	4.828		3	1	G2925749	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS567533147	2018-01-17 08:06:11	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2018-01-14	13:21:00	obsr247263	S41915511	Traveling	P22	EBIRD_CAMERICA	98	2.413		5	1	G2866354	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS567628231	2018-01-15 07:51:52	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2018-01-14	10:52:00	obsr357237	S41922518	Traveling	P22	EBIRD_CAMERICA	148	2.879		5	1	G2866341	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS571261604	2018-03-04 16:32:08	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							El Portillito	L2667065	H	13.9059917	-87.2123480	2018-01-26	07:52:00	obsr197531	S42248179	Traveling	P22	EBIRD_CAMERICA	88	0.900		2	1	G2895014	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS567515998	2018-01-17 08:06:11	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2018-01-14	13:21:00	obsr143555	S41914145	Traveling	P22	EBIRD_CAMERICA	98	2.413		5	1	G2866354	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS567531251	2018-01-15 07:51:52	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2018-01-14	10:52:00	obsr247263	S41915397	Traveling	P22	EBIRD_CAMERICA	148	2.879		5	1	G2866341	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS568397681	2018-01-17 10:40:29	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2018-01-14	13:21:00	obsr434092	S41987727	Traveling	P22	EBIRD_CAMERICA	98	2.413		5	1	G2866354	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS567772702	2018-01-17 08:06:11	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera al Nor-oeste de Rancho Ebenezer	L5862488	H	14.1477724	-87.4114913	2018-01-14	13:21:00	obsr357237	S41933882	Traveling	P22	EBIRD_CAMERICA	98	2.413		5	1	G2866354	1	1	0				
